county_fips,year,complete_count,public_status,public_lower,public_upper,posterior_mean,posterior_median,posterior_lower_95,posterior_upper_95,absolute_error_posterior_mean,squared_error_posterior_mean,truth_covered_by_95_interval
21103,2024,1,suppressed_1_9,1,9,1.6445833333333333,1.0,1.0,4.0,0.6445833333333333,0.41548767361111105,True
21111,2019,34,exact,34,34,34.0,34.0,34.0,34.0,0.0,0.0,True
21111,2020,59,exact,59,59,59.0,59.0,59.0,59.0,0.0,0.0,True
21111,2021,36,exact,36,36,36.0,36.0,36.0,36.0,0.0,0.0,True
21111,2022,31,exact,31,31,31.0,31.0,31.0,31.0,0.0,0.0,True
21111,2023,14,exact,14,14,14.0,14.0,14.0,14.0,0.0,0.0,True
21111,2024,40,exact,40,40,40.0,40.0,40.0,40.0,0.0,0.0,True
21115,2019,2,suppressed_1_9,1,9,1.735,2.0,1.0,4.0,0.2649999999999999,0.07022499999999995,True
21115,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21115,2021,2,suppressed_1_9,1,9,1.88375,2.0,1.0,4.0,0.11624999999999996,0.013514062499999991,True
21115,2022,1,suppressed_1_9,1,9,2.0620833333333333,2.0,1.0,4.0,1.0620833333333333,1.1280210069444443,True
21115,2023,3,suppressed_1_9,1,9,1.7683333333333333,2.0,1.0,4.0,1.2316666666666667,1.517002777777778,True
21115,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21121,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21121,2020,2,suppressed_1_9,1,9,2.355,2.0,1.0,5.0,0.355,0.126025,True
21121,2021,3,suppressed_1_9,1,9,2.7066666666666666,3.0,1.0,5.025000000000091,0.29333333333333345,0.0860444444444445,True
21121,2022,6,suppressed_1_9,1,9,3.2354166666666666,3.0,1.0,6.0,2.7645833333333334,7.642921006944444,True
21121,2023,1,suppressed_1_9,1,9,2.5616666666666665,2.0,1.0,5.0,1.5616666666666665,2.438802777777777,True
21121,2024,2,suppressed_1_9,1,9,3.14125,3.0,1.0,6.0,1.1412499999999999,1.3024515624999997,True
21161,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21161,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21161,2021,1,suppressed_1_9,1,9,1.8675,2.0,1.0,4.0,0.8674999999999999,0.7525562499999999,True
21161,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21161,2023,1,suppressed_1_9,1,9,1.8433333333333333,2.0,1.0,4.0,0.8433333333333333,0.711211111111111,True
21161,2024,3,suppressed_1_9,1,9,2.0825,2.0,1.0,5.0,0.9175,0.84180625,True
21179,2019,1,suppressed_1_9,1,9,1.775,2.0,1.0,4.0,0.7749999999999999,0.6006249999999999,True
