query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes,rate_per_100k
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Kentucky,21,,,,,,,,,140,140,exact,True,False,False,4477251,3.1,known_or_blank,,3.1269187275852977
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Kentucky,21,,,,,,,,,133,133,exact,True,False,False,4509394,2.9,known_or_blank,,2.9493985222848127
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Kentucky,21,,,,,,,,,162,162,exact,True,False,False,4512310,3.6,known_or_blank,,3.5901788662569727
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Kentucky,21,,,,,,,,,159,159,exact,True,False,False,4526154,3.5,known_or_blank,,3.5129162640069254
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Kentucky,21,,,,,,,,,160,160,exact,True,False,False,4588372,3.5,known_or_blank,,3.4870755902093378
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Louisiana,22,,,,,,,,,123,123,exact,True,False,False,4648794,2.6,known_or_blank,,2.6458475036751468
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Louisiana,22,,,,,,,,,155,155,exact,True,False,False,4645318,3.3,known_or_blank,,3.3366929885101513
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Louisiana,22,,,,,,,,,172,172,exact,True,False,False,4624047,3.7,known_or_blank,,3.7196853751702785
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Louisiana,22,,,,,,,,,146,146,exact,True,False,False,4590241,3.2,known_or_blank,,3.1806608846899325
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Louisiana,22,,,,,,,,,161,161,exact,True,False,False,4573749,3.5,known_or_blank,,3.5200882252174313
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Louisiana,22,,,,,,,,,115,115,exact,True,False,False,4597740,2.5,known_or_blank,,2.501228864616094
