chain,draw,iteration,parameter,value
1,8,380,state_effect[13],-0.23223391201354207
1,8,380,state_effect[15],-0.00567658447158658
1,8,380,state_effect[16],-0.09654078781541335
1,8,380,state_effect[17],-0.18123359278925696
1,8,380,state_effect[18],0.16289347921835864
1,8,380,state_effect[19],-0.0040347717233762065
1,8,380,state_effect[20],-0.03764392815979236
1,8,380,state_effect[21],-0.04018905714721577
1,8,380,state_effect[22],-0.11889276101105327
1,8,380,state_effect[23],0.044391104410669735
1,8,380,state_effect[24],0.023730550057031577
1,8,380,state_effect[25],-0.1970790214793477
1,8,380,state_effect[26],-0.1265805398492674
1,8,380,state_effect[27],0.12144767181695533
1,8,380,state_effect[28],0.16255351347040228
1,8,380,state_effect[29],-0.09504289583910015
1,8,380,state_effect[30],0.0044230973407617695
1,8,380,state_effect[31],0.11065647490004463
1,8,380,state_effect[32],0.006930208334825577
1,8,380,state_effect[33],0.059227528459795065
1,8,380,state_effect[34],-0.1709689189766339
1,8,380,state_effect[35],-0.053480537101247894
1,8,380,state_effect[36],-0.09061680522226168
1,8,380,state_effect[37],-0.040723408556385884
1,8,380,state_effect[38],-0.1799047132699628
1,8,380,state_effect[39],-0.0544829229591432
1,8,380,state_effect[40],0.16376168130934318
1,8,380,state_effect[41],0.17119618565413064
1,8,380,state_effect[42],0.06858447736376666
1,8,380,state_effect[44],0.1218965959372795
1,8,380,state_effect[45],0.20750179746512143
1,8,380,state_effect[46],0.12712811402477933
1,8,380,state_effect[47],0.12022251835095532
1,8,380,state_effect[48],-0.02131461627367
1,8,380,state_effect[49],0.15496331884886513
1,8,380,state_effect[50],-0.004187849592136857
1,8,380,state_effect[51],0.05429362739567144
1,8,380,state_effect[53],-0.028767322784067514
1,8,380,state_effect[54],-0.006329199221666494
1,8,380,state_effect[55],0.05445227702859918
1,8,380,state_effect[56],0.08644335387741715
1,8,380,year_effect[2019],-0.24696010321444112
1,8,380,year_effect[2020],-0.06450188140687987
1,8,380,year_effect[2021],-0.006927637864683943
1,8,380,year_effect[2022],0.10064454931670189
1,8,380,year_effect[2023],0.10113903833268356
1,8,380,year_effect[2024],0.1166060348366194
1,8,380,sigma_state,0.11653239566223488
1,8,380,sigma_year,0.1192123407486339
1,8,380,kappa,2.6060511586955077
1,9,390,Intercept,-10.616995716329278
1,9,390,primary_rurality_metro_other,0.11341729282650978
1,9,390,primary_rurality_nonmetro_adjacent,0.2112596496523713
1,9,390,primary_rurality_nonmetro_nonadjacent,0.18182900409112945
1,9,390,svi_quartile_Q2,0.12207334567963925
1,9,390,svi_quartile_Q3,0.26275422688302014
1,9,390,svi_quartile_Q4_highest,0.376623433127667
1,9,390,z_pct_age65,0.10868816753821364
1,9,390,z_pct_male,-0.048979160827419536
1,9,390,state_effect[01],-0.23624835416643708
1,9,390,state_effect[02],0.04625470059767021
1,9,390,state_effect[04],-0.1694137421300867
1,9,390,state_effect[05],0.06343769158573259
1,9,390,state_effect[06],-0.03157748306920442
1,9,390,state_effect[08],0.12114207674077543
1,9,390,state_effect[09],0.22714031608422858
1,9,390,state_effect[10],-0.05920340825723449
1,9,390,state_effect[11],0.004829526788512351
1,9,390,state_effect[12],-0.2209612543413236
1,9,390,state_effect[13],-0.23069575786823357
1,9,390,state_effect[15],-0.015209123097778464
1,9,390,state_effect[16],-0.08620502650419398
1,9,390,state_effect[17],-0.19839563029047286
1,9,390,state_effect[18],0.1806465628069497
1,9,390,state_effect[19],0.005922863280927196
1,9,390,state_effect[20],-0.044095438485343724
1,9,390,state_effect[21],-0.020134787328759944
1,9,390,state_effect[22],-0.11982226994421939
1,9,390,state_effect[23],0.03092677407591588
1,9,390,state_effect[24],0.01415189576007464
1,9,390,state_effect[25],-0.1722052574982864
1,9,390,state_effect[26],-0.10945105534321113
1,9,390,state_effect[27],0.11363983930390606
1,9,390,state_effect[28],0.17647386056688555
1,9,390,state_effect[29],-0.0841846273285802
1,9,390,state_effect[30],0.03744457280226249
1,9,390,state_effect[31],0.1405109342162247
1,9,390,state_effect[32],0.017306363626535995
1,9,390,state_effect[33],0.0366125467238176
1,9,390,state_effect[34],-0.18962745860493663
1,9,390,state_effect[35],-0.049628762010932706
1,9,390,state_effect[36],-0.09800822380797415
1,9,390,state_effect[37],-0.039050450294290176
1,9,390,state_effect[38],-0.19159906897180395
1,9,390,state_effect[39],-0.048996321569574466
1,9,390,state_effect[40],0.1494778110063344
1,9,390,state_effect[41],0.15177943335954586
1,9,390,state_effect[42],0.05643956570732479
1,9,390,state_effect[44],0.12346145175517137
1,9,390,state_effect[45],0.23652525424524523
