replicate,scenario,parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,bias_irr,relative_bias_percent,squared_error_irr,interval_width,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
4,baseline_rate_3_4_kappa_4,primary_rurality_nonmetro_adjacent,1.27,1.2924439295047807,0.8457041420653177,1.9070532635937985,0.0224439295047806,1.7672385436835247,0.0005037299716155,1.0613491215284805,True,1.022627755718395,162.16960539495383,464.5657199696138
4,baseline_rate_3_4_kappa_4,primary_rurality_nonmetro_nonadjacent,1.23,1.430880521648366,0.9209502835962752,2.196063667637516,0.200880521648366,16.331749727509436,0.0403529839777196,1.2751133840412407,True,1.008511771047408,147.8159336912367,419.0393512648313
4,baseline_rate_3_4_kappa_4,svi_quartile_Q2,1.1,1.191913431597234,0.8700221204630485,1.634517891653408,0.0919134315972338,8.355766508839446,0.0084480789079793,0.7644957711903595,True,1.016267615884935,329.09641717825974,746.7070491124928
4,baseline_rate_3_4_kappa_4,svi_quartile_Q3,1.25,1.516216983360319,1.1029036801032834,2.06152595195233,0.2662169833603189,21.29735866882552,0.0708714822294683,0.9586222718490464,True,1.0159907073206766,266.9627217983768,516.7545752874273
4,baseline_rate_3_4_kappa_4,svi_quartile_Q4_highest,1.43,1.4484566674436363,0.99090789930334,2.113070724589872,0.0184566674436363,1.2906760450095422,0.0003406485731249,1.1221628252865317,True,1.0135646283999356,199.38301116606036,445.7153134393803
5,baseline_rate_3_4_kappa_10,primary_rurality_metro_other,1.12,0.9959804934818316,0.7355400109150968,1.3192769533562516,-0.1240195065181685,-11.07317022483647,0.01538083799701,0.5837369424411548,True,1.0039276828416903,302.723839111723,618.02495030854
5,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.2628801233871354,0.8631338425847053,1.817846168124579,-0.0071198766128646,-0.5606202057373721,5.069264298241654e-05,0.9547123255398736,True,1.0106118330127716,188.28226912438575,359.19048571470984
5,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.1448377789350508,0.8012531211172622,1.6725439484019762,-0.0851622210649492,-6.92375781015847,0.0072526038967152,0.871290827284714,True,1.0075458066950764,209.967974085164,372.2745133456246
5,baseline_rate_3_4_kappa_10,svi_quartile_Q2,1.1,0.9991288076922136,0.7507877258710328,1.2939793140916074,-0.1008711923077865,-9.17010839161696,0.0101749974375944,0.5431915882205746,True,1.0077084726393408,311.08836546399635,710.8826510736561
5,baseline_rate_3_4_kappa_10,svi_quartile_Q3,1.25,1.1490793515967594,0.8872466922692881,1.4456053723094582,-0.1009206484032405,-8.073651872259246,0.0101849772741305,0.5583586800401701,True,1.0042604273780094,341.4102498087343,606.7725573429572
5,baseline_rate_3_4_kappa_10,svi_quartile_Q4_highest,1.43,1.233003908369298,0.8984869080745641,1.627562231683669,-0.1969960916307018,-13.775950463685447,0.0388074601177718,0.729075323609105,True,1.0094695049348912,275.7320827904828,544.5800128669412
6,lower_rate_2_4_kappa_10,primary_rurality_metro_other,1.12,1.2856346757769606,0.9486323863722572,1.7301960730090795,0.1656346757769604,14.788810337228607,0.0274348458197388,0.7815636866368223,True,1.0031103093140674,306.0925744532665,727.9222302370595
6,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.4144041123408717,0.9589902241430348,2.1199263780452604,0.1444041123408714,11.370402546525304,0.020852547660955,1.1609361539022256,True,1.0135735959748298,160.19123163625835,362.3419971249824
6,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.020904733241291,0.6778351471929379,1.5477816494411916,-0.2090952667587089,-16.999615183634877,0.0437208305808956,0.8699465022482537,True,1.017018732984086,136.1269203603806,285.49995224836164
6,lower_rate_2_4_kappa_10,svi_quartile_Q2,1.1,1.0613740230162054,0.7747009917786003,1.494446276694739,-0.0386259769837946,-3.511452453072239,0.0014919660979526,0.7197452849161388,True,1.0191156564012147,235.54191145304208,419.5724539666529
6,lower_rate_2_4_kappa_10,svi_quartile_Q3,1.25,1.232959758044024,0.9147540414180876,1.6254695786239914,-0.0170402419559758,-1.3632193564780737,0.0002903698459182,0.7107155372059037,True,1.009465011488585,253.5452312175561,534.758615281519
6,lower_rate_2_4_kappa_10,svi_quartile_Q4_highest,1.43,1.559016333884408,1.1319763884679137,2.165800055071327,0.1290163338844079,9.02212125065789,0.016645214408973,1.0338236666034135,True,1.0148394494271396,192.24309164034327,459.38987284728057
7,higher_rate_5_0_kappa_10,primary_rurality_metro_other,1.12,1.1226129061209151,0.8594864567058407,1.4654358699920536,0.002612906120915,0.2332951893674106,6.827278396715209e-06,0.6059494132862129,True,1.0126388543992657,258.42841110300014,791.0644583406544
7,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.160099058591281,0.8637355241479286,1.6326603943715727,-0.109900941408719,-8.653617433757411,0.0120782169225227,0.7689248702236441,True,1.0103467248420277,196.44790849667336,336.99485127421985
7,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.239573538242403,0.8782983722372655,1.7521369583772397,0.0095735382424029,0.7783364424717831,9.165263447875126e-05,0.8738385861399742,True,1.0200141217255785,150.36009866384603,294.46385925742663
7,higher_rate_5_0_kappa_10,svi_quartile_Q2,1.1,1.1795936329216383,0.9102473445290546,1.5115482060968093,0.0795936329216382,7.235784811058021,0.0063351464016644,0.6013008615677546,True,1.0133467229988289,273.8196634972175,681.039202291124
7,higher_rate_5_0_kappa_10,svi_quartile_Q3,1.25,1.1857538420383038,0.9257172094559944,1.5282582030215066,-0.0642461579616962,-5.1396926369357,0.0041275688128392,0.6025409935655123,True,1.022284937580108,253.00745607712523,650.1260483778901
7,higher_rate_5_0_kappa_10,svi_quartile_Q4_highest,1.43,1.1162048672087628,0.8293312836649518,1.5100710299988536,-0.3137951327912371,-21.9437155798068,0.0984673853634701,0.6807397463339018,True,1.0162150925712845,208.63991681977984,549.3056620622833
